c0,c1,org,category,name,city,address,zip,link,linkType
-78.6368954,35.7783054,The Remedy Diner,Food and drink,The Remedy Diner,Raleigh,137 E Hargett St,27601,https://www.instagram.com/p/BDYN5XNii5C/?taken-by=remedydiner,instagram
-78.656054,35.782886,The Green Monkey,Shopping,The Green Monkey,Raleigh,1217 Hillsborough St,27603,https://www.instagram.com/p/BDUg30owzRJ/?taken-by=greenmonkeyraleigh,instagram
-78.6348201,35.7903701,Edge of Urge - Raleigh,Shopping,Edge of Urge - Raleigh,Raleigh,215 E Franklin St #110,27604,https://www.instagram.com/p/BDX8JIrs9OC/?taken-by=edgeofurge,instagram
-78.6447274,35.7756518,Videri Chocolate Factory,Shopping,Videri Chocolate Factory,Raleigh,327 W Davie St,27601,https://twitter.com/viderichocolate/status/713783029458735104,twitter
-78.6774284,35.7899851,Cup a Joe,Food and drink,Cup a Joe - Hillsborough St,Raleigh,3100 Hillsborough St,27607,,
-78.6758498,35.7796411,Cup a Joe,Food and drink,Cup a Joe - Mission Valley,Raleigh,2109 Avent Ferry Rd,27606,,
-78.6955971,35.766557,Talon Vapor,Shopping,Talon Vapor,Raleigh,3231 Avent Ferry Rd #103,27606,,
-78.6609831,35.7851034,Pullen Memorial Baptist Church,Religious organization,Pullen Memorial Baptist Church,Raleigh,1801 Hillsborough St,27605,,
-78.6756362,35.8007209,Community United Church of Christ,Religious organization,Community United Church of Christ,Raleigh,814 Dixie Trail,27607,,
-78.6799742,35.8006413,Unitarian Universalist Fellowship of Raleigh,Religious organization,Unitarian Universalist Fellowship of Raleigh,Raleigh,3313 Wade Ave,27607,http://www.uufr.org/index.php/community-life/lgbtq,www
-78.639894,35.775173,Ruby Deluxe,Food and drink,Ruby Deluxe,Raleigh,414 Fayetteville St,27601,https://www.facebook.com/RubyDeluxeRaleigh/?fref=nf# and https://www.instagram.com/p/BDXGPIcASR-/,facebook
-78.6453955,35.7759848,LGBT Center of Raleigh,Community organization,LGBT Center of Raleigh,Raleigh,324 S Harrington St,27603,,
-78.7071208,35.8162305,Triangle Acupuncture Clinic,Health and wellness,Triangle Acupuncture Clinic,Raleigh,2601 Lake Dr #103,27607,,
-78.6365891,35.773754,Flanders Gallery,Arts and entertainment,Flanders Gallery,Raleigh,505 S Blount St,27601,,
-78.6366008,35.7737509,Lump Gallery,Arts and entertainment,Lump Gallery,Raleigh,505 S Blount St,27601,,
